"STYRENIX","1,980.00","1,997.60","1,933.30","1,987.20","1,962.00","-","-25.20","-1.27","26,561","5.23","3,498.00","1,819.00","-0.65","-28.66"
"TVSSCS","103.00","103.89","100.00","104.54","101.50","-","-3.04","-2.91","5,06,843","5.13","147.00","92.16","-17.45","-25.34"
"BIKAJI","615.00","616.90","606.20","618.35","608.70","-","-9.65","-1.56","83,922","5.12","818.70","592.55","-4.86","-13.44"
"ALIVUS","921.10","937.00","918.35","941.95","926.10","-","-15.85","-1.68","54,877","5.09","1,225.10","819.00","4.06","-14.29"
"GULFOILLUB","964.70","966.20","921.30","969.70","929.90","-","-39.80","-4.10","53,677","5.04","1,331.90","911.00","-15.06","-26.53"
"SPARC","119.95","119.95","115.00","120.25","115.50","-","-4.75","-3.95","4,28,641","5.00","204.40","111.55","-11.75","-11.39"
"VMART","522.40","522.40","502.00","527.20","507.00","-","-20.20","-3.83","97,717","4.99","945.00","497.30","-13.25","-30.10"
"TARC","125.00","125.01","122.50","125.06","122.82","-","-2.24","-1.79","3,99,165","4.94","206.10","103.76","-22.01","11.52"
"EPL","192.91","193.85","187.78","195.86","188.60","-","-7.26","-3.71","2,54,751","4.86","254.00","175.28","-12.24","-6.30"
"SURYAROSNI","208.00","209.57","203.00","211.32","206.50","-","-4.82","-2.28","2,25,864","4.68","359.00","199.47","-7.56","-15.54"
"PARKHOTELS","112.65","113.34","107.20","112.66","108.39","-","-4.27","-3.79","4,14,017","4.59","173.20","105.13","-14.90","-28.32"
"CARBORUNIV","763.90","764.45","746.60","767.70","749.00","-","-18.70","-2.44","60,684","4.58","1,128.05","738.40","-11.27","-23.30"
"CAMPUS","226.00","230.00","223.40","228.95","230.00","-","1.05","0.46","2,02,019","4.58","304.40","210.00","-14.23","-8.75"
"VARROC","518.00","522.60","502.00","524.30","504.50","-","-19.80","-3.78","87,778","4.51","694.70","374.10","-9.37","16.85"
"WELENT","460.10","471.80","455.50","466.75","460.00","-","-6.75","-1.45","97,003","4.49","580.00","425.00","-7.57","-2.85"
"GODREJAGRO","581.00","581.60","572.10","591.00","575.90","-","-15.10","-2.55","76,786","4.43","876.35","506.10","-10.15","-24.55"
"CIGNITITEC","1,092.90","1,097.80","1,066.20","1,109.50","1,075.00","-","-34.50","-3.11","40,461","4.38","1,929.50","996.50","-19.31","-23.08"
"KSL","662.00","679.85","634.00","679.15","649.00","-","-30.15","-4.44","67,315","4.38","988.80","634.00","-13.15","-17.25"
